ACC_X_AVG,ACC_Y_AVG,ACC_Z_AVG,GYR_X_AVG,GYR_Y_AVG,GYR_Z_AVG,MAG_X_AVG,MAG_Y_AVG,MAG_Z_AVG,ACC_X_Range,ACC_Y_Range,ACC_Z_Range,GYR_X_Range,GYR_Y_Range,GYR_Z_Range,MAG_X_Range,MAG_Y_Range,MAG_Z_Range
-222.2583333,-18.2,1015.875,5.991666667,-29.33333333,-2.091666667,217.425,-11.85833333,-399.35,544,465,1730,697,749,387,138,84,43
-251.275,-45.90833333,924.475,10,-20.85,2.575,238.5083333,13.13333333,-394.3916667,732,283,1506,789,740,574,103,115,37
-291.275,-43.56666667,1000.491667,10.19166667,-19.875,-1.333333333,237.8083333,24.6,-395.525,554,297,1361,838,769,459,75,87,32
-91.00833333,85.93333333,902.3666667,98.21666667,-16.25833333,27.94166667,184.6416667,-39.025,-372.875,1368,1201,1691,4085,4402,3016,532,349,264
331.1833333,191.25,897.4083333,-52.075,117.4583333,-70.75,87.5,-141.3583333,-348.225,971,1431,1288,4079,2066,3190,685,552,351
-199.2083333,150.7083333,992.5916667,2.316666667,-25.10833333,3.541666667,-196.4916667,80.43333333,-419.675,621,401,1397,867,626,417,64,90,45
-134.5833333,154.6833333,973.975,4.308333333,-28.36666667,5.508333333,-198.5,37.53333333,-423.525,709,372,1801,1171,752,355,80,111,50
-194.4166667,120.2416667,970.0416667,1.975,-5.05,-1.433333333,-178.1666667,64.51666667,-432.4333333,575,367,1397,802,695,557,67,94,39
-218.1166667,118.5583333,989.4083333,20.65,-39.225,1.95,-178.7666667,73.13333333,-431.9,776,371,1544,1210,423,418,77,88,44
-129.8666667,-79.3,1004.058333,4.216666667,-28.36666667,11.05833333,-115.625,97.81666667,-491.6,550,354,1426,1219,953,561,116,126,54
-107.8,-60.50833333,990.8083333,11.06666667,-23.675,7.566666667,-121.2166667,66.89166667,-495.7833333,467,265,1396,976,588,362,78,71,38
-113.1666667,-60.4,977.6,7.166666667,-24.1,-0.45,-119.8083333,55.46666667,-497.5166667,446,307,1551,760,699,515,53,91,30
-135.775,-28.24166667,1020.3,4.433333333,-19.23333333,6.275,-133.2416667,61.10833333,-493.5916667,422,323,1274,592,778,289,81,69,35
-148.7833333,-19.70833333,1003.791667,-10.90833333,14.20833333,15.525,-156.125,84.40833333,-484.6166667,998,657,1387,829,1022,704,165,223,79
-97.38333333,-25.96666667,987.9333333,10.25833333,-37.76666667,10.45,-145.125,32.55833333,-493.75,443,359,1697,1121,1075,363,84,104,36
-48.125,-12.28333333,1003.2,11.76666667,-11.83333333,5.908333333,-149.0333333,-9.108333333,-491.0083333,500,389,1565,1116,752,288,87,83,40
-61.49166667,4.808333333,1000.641667,6.383333333,-21.225,-3.658333333,-158.1666667,0.291666667,-490.1666667,370,377,1624,844,964,310,66,78,49
-52.79166667,-4.3,998.2083333,19.75833333,-5.975,14.06666667,-155.4916667,1.5,-488.7083333,385,328,1472,907,1473,791,66,118,37
-175.85,97.03333333,999.8083333,11.13333333,-27.725,-2.591666667,-196.1416667,73.13333333,-473.2166667,508,403,1429,1232,897,623,101,105,69
-145.0333333,141.4583333,980.525,8.208333333,-9.525,0.333333333,-214.0583333,60.81666667,-466.2333333,530,349,1815,863,787,368,75,106,44
-145.8083333,150.0083333,952.6833333,10.74166667,-40.675,-0.641666667,-220.4333333,67.175,-461.025,617,436,1940,1446,943,501,78,153,57
-142.7833333,165.6916667,963.85,7.125,-28.5,0.616666667,-228.325,52.86666667,-459,759,428,1732,1018,963,524,80,103,56
-97.30833333,158.6166667,989.6333333,-22.65,-41.61666667,23.80833333,-220.4,31.86666667,-463.2583333,664,531,1720,1584,1896,1654,177,212,63
91.18,0.64,1032.1,1.626,0.834,-0.314,1.626,0.834,-0.314,348,533,1293,178.9,90.4,44.7,178.9,90.4,44.7
125.88,-57.04,984.22,0.828,-4.422,0.928,0.828,-4.422,0.928,580,298,1278,114.8,61.9,33.5,114.8,61.9,33.5
94.4,-10.94,992.82,3.824,4.82,0.228,3.824,4.82,0.228,597,618,1167,153.9,115.2,34.2,153.9,115.2,34.2
156.2,-9,1082.14,-1.716,-3.778,-0.628,-1.716,-3.778,-0.628,580,330,1111,111.9,90,38,111.9,90,38
78.64,12.42,928.86,16.91,-2.116,1.44,16.91,-2.116,1.44,1045,821,1349,190.9,121.6,356.7,190.9,121.6,356.7
-349.547619,649.2142857,776.2857143,4.869047619,3.297619048,-22.45952381,4.869047619,3.297619048,-22.45952381,858,927,850,122.4,126.6,254.8,122.4,126.6,254.8
2.06,36.66,992.82,1.224,-0.816,0.928,1.224,-0.816,0.928,313,323,966,92.9,76.8,49.1,92.9,76.8,49.1
-46.1,102.2,1077.36,2.044,0.618,0.126,2.044,0.618,0.126,349,276,1007,65.7,53.5,34,65.7,53.5,34
-12.34,75.9,936.46,1.108,-2.226,1.798,1.108,-2.226,1.798,379,313,1005,105.6,37.9,25.9,105.6,37.9,25.9
-68.84,117.66,1104.68,1.144,0.484,-1.754,1.144,0.484,-1.754,425,375,1205,92.2,72,32,92.2,72,32
-42.44,56.42,943.94,2.86,0.884,0.356,2.86,0.884,0.356,464,381,1199,105.9,58.9,53.4,105.9,58.9,53.4
-84.46,95.52,1101.32,0.568,-2.056,-0.88,0.568,-2.056,-0.88,486,339,1146,85.6,62.6,39.7,85.6,62.6,39.7
-231,708.38,338.98,41.08,-7.302,-16.364,41.08,-7.302,-16.364,1188,1331,1281,182.9,140.3,253.9,182.9,140.3,253.9
16.04,-19.5,1030.88,1.258,-0.144,-0.172,1.258,-0.144,-0.172,419,493,1329,166.4,74.3,55.8,166.4,74.3,55.8
51.02,19.88,1046.34,2.416,-1.478,1.452,2.416,-1.478,1.452,450,448,1199,140.2,93.4,53.9,140.2,93.4,53.9
93.18,-16.86,1056.04,-1.9,-1.202,-0.862,-1.9,-1.202,-0.862,608,324,1296,126.8,57.2,41,126.8,57.2,41
117.6,-46.66,1000.64,-0.702,-0.242,-0.898,-0.702,-0.242,-0.898,387,591,1161,88.3,74.9,43.3,88.3,74.9,43.3
88.72,-47.12,996.06,7.796,-3.31,2.386,7.796,-3.31,2.386,1089,713,1132,150.3,107.7,107.2,150.3,107.7,107.2
-355.06,612.74,732.5,18.124,3.28,-17.77,18.124,3.28,-17.77,1172,1725,1159,208.5,231.8,417,208.5,231.8,417
18.72,44.48,1020.02,2.098,-2.658,1.41,2.098,-2.658,1.41,398,438,1441,102.8,51.8,29,102.8,51.8,29
61.96,21.52,1058.36,-0.292,-2.284,-0.776,-0.292,-2.284,-0.776,333,403,1331,100.6,47.9,37.9,100.6,47.9,37.9
107.22,24.28,1061.66,2.55,2.346,0.814,2.55,2.346,0.814,377,289,1436,108.7,44.2,33.8,108.7,44.2,33.8
80.14,61.48,1005.8,1.618,-0.504,2.548,1.618,-0.504,2.548,403,413,1280,144.4,80.6,33.9,144.4,80.6,33.9
46.3,71.58,955.66,0.98,-0.646,0.66,0.98,-0.646,0.66,292,349,1187,107.6,70.8,31.2,107.6,70.8,31.2
-180.28,427.16,882.88,19.168,1.15,-17.13,19.168,1.15,-17.13,1340,1840,1601,277.5,242,508.2,277.5,242,508.2
-473.6896552,587.6896552,685.4482759,3.896551724,0.175862069,0.689655172,3.896551724,0.175862069,0.689655172,299,414,364,90.5,41.3,48.9,90.5,41.3,48.9
25.36,-1.68,1056.58,0.844,-2.076,-0.13,0.844,-2.076,-0.13,289,381,1173,119.1,49.8,42.1,119.1,49.8,42.1
98.44,15.9,1052.12,2.152,1.056,0.584,2.152,1.056,0.584,284,276,1158,68.7,68.4,49.3,68.7,68.4,49.3
56.62,48.68,1035.58,1.61,0.378,0.872,1.61,0.378,0.872,326,389,1502,128.2,69,45.1,128.2,69,45.1
61.3,27.04,1029.16,0.426,0.054,0.786,0.426,0.054,0.786,271,432,1268,119.8,62.2,40.1,119.8,62.2,40.1
27.96,125.12,944.3,19.63,-5.146,-18.778,19.63,-5.146,-18.778,1012,1275,1445,194.7,173,354.4,194.7,173,354.4
-510.4054054,527.3513514,713.7297297,1.262162162,8.713513514,-0.089189189,1.262162162,8.713513514,-0.089189189,439,477,449,99.6,95.1,114.7,99.6,95.1,114.7
31.84,-18,1012.82,0.766,-0.064,0.486,0.766,-0.064,0.486,341,343,1434,96.5,48.6,30.3,96.5,48.6,30.3
46.86,31.76,1021.76,2.306,-0.596,1.018,2.306,-0.596,1.018,325,311,1431,93.3,75.1,34.8,93.3,75.1,34.8
66.34,6.18,1036.34,-1.348,0.014,-0.756,-1.348,0.014,-0.756,306,497,1521,181.1,63.4,42.6,181.1,63.4,42.6
